kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
ss006,ss,mk,13,NA,NA,NA,sb,ne,m,n,n,NA,0,n,0,0,0,0,0
ss007,ss,NA,13,NA,NA,NA,NA,n,m,n,n,1,0,n,0,0,0,0,0
ss008,ss,NA,13,NA,NA,NA,NA,n,m,n,n,1,0,n,0,0,0,0,0
ss009,ss,NA,13,NA,NA,NA,NA,b,m,n,n,0,0,n,0,0,0,0,0
ss010,ss,NA,13,NA,NA,NA,d,n,tm,n,n,1,0,n,0,0,0,0,0
ss011,ss,NA,13,NA,NA,NA,NA,b,m,n,n,1,0,n,0,0,0,0,0
ss012,ss,bgk,10,6,19,r,i,n,k.m,n,n,0,0,n,0,0,0,0,0
ss012,ss,bgk,13,NA,NA,NA,sb,n,k,n,n,1,0,n,0,0,0,0,0
ss013,ss,sfk,13,NA,NA,NA,i,n,n,n,s,1,0,n,0,0,0,0,0
kle001,kle,dk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
kle001,kle,dk,11,1,27,s,lb,n,m,n,n,1,0,n,0,0,0,0,0
kle002,kle,dk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
kle002,kle,dk,11,2,19,b,lb,n,m,n,s,1,0,n,0,0,0,0,0
kle003,kle,mk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
kle003,kle,mk,11,1,27,s,sb,n,m,n,n,1,5,M.nattereri,14,NA,NA,NA,NA
kle008,kle,mk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
klo001,klo,mk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo001,klo,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo002,klo,dk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
klo002,klo,dk,11,2,19,b,lb,n,m,n,n,1,0,n,0,0,0,0,0
klo003,klo,mk,10,4,21,b,sb,n,m,n,n,1,5,M.nattereri,20,NA,NA,NA,NA
klo003,klo,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo004,klo,mk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo004,klo,mk,11,1,27,s,sb,n,m,n,n,1,5,M.nattereri,6,NA,NA,3,3
klo005,klo,mk,11,1,27,s,sb,n,m,n,hon,1,5,M.nattereri,1,1,0,0,1
klo006,klo,mk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
klo006,klo,mk,11,1,27,s,lb,n,m,n,n,0,0,n,0,0,0,0,0
klo007,klo,mk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo007,klo,mk,11,1,27,s,sb,n,m,n,m,1,5,M.daubentonii,14,NA,NA,NA,NA
klo008,klo,mk,10,4,21,b,i,n,m,n,n,1,4,Plec.auritus,2,1,1,2,0
klo008,klo,mk,11,2,19,b,lb,n,n,n,n,1,0,n,0,0,0,0,0
klo009,klo,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo010,klo,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo011,klo,mk,10,6,19,r,i,n,m,n,n,1,0,n,0,0,0,0,0
klo011,klo,mk,11,2,19,b,sb,n,m,n,s,1,0,n,0,0,0,0,0
klo012,klo,mk,11,2,19,b,sb,n,m,n,n,1,5,M.daubentonii,10,NA,NA,NA,NA
klo013,klo,mk,10,4,21,b,sb,n,m,n,n,1,5,M.nattereri,10,NA,NA,NA,NA
klo013,klo,mk,11,1,27,s,sb,n,m,n,n,1,0,n,0,0,0,0,0
klo015,klo,bgk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
klo015,klo,bgk,11,1,27,s,i,n,m,n,n,1,5,M.nattereri,4,NA,NA,2,2
klo016,klo,bgk,10,4,21,b,i,n,m,n,n,0,0,n,0,0,0,0,0
klo016,klo,bgk,11,1,27,s,lb,n,m,n,n,1,0,n,0,0,0,0,0
klo017,klo,bgk,10,4,21,b,i,n,m.k,n,n,1,0,n,0,0,0,0,0
klo018,klo,bgk,10,4,21,b,i,n,m,n,n,1,5,Plec.auritus,9,NA,NA,NA,NA
klo018,klo,bgk,11,1,27,s,i,n,k,n,n,1,0,n,0,0,0,0,0
klo019,klo,bgk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
klo019,klo,bgk,11,1,27,s,i,n,m,n,m,1,4,M.daubentonii,2,1,1,2,0
klo020,klo,bgk,10,4,21,b,i,n,k,n,n,1,0,n,0,0,0,0,0
klo021,klo,bgk,10,4,21,b,lb,n,k.m,n,n,0,0,n,0,0,0,0,0
klo021,klo,bgk,11,2,19,b,lb,n,m,n,n,1,5,M.daubentonii,1,1,0,1,0
klo022,klo,fk,10,5,23,w,i,n,n,n,wn,0,0,n,0,0,0,0,0
klo023,klo,sfk,11,2,19,b,i,n,n,n,hon,0,0,n,0,0,0,0,0
klo025,klo,bgk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
