kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
sg009,sg,7F,fk,NA,NA,15,2,17,w,i,0,0,0,0,0,0,0,0,0,0,0,0,13
ss001,ss,44,NA,NA,NA,13,NA,NA,NA,NA,2,3,0,0,1,0,0,0,0,0,0,0,4
ss002,ss,46,NA,NA,NA,13,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,3
ss003,ss,214,NA,NA,NA,13,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0
ss004,ss,230,NA,NA,NA,13,NA,NA,NA,NA,2,3,0,0,1,0,0,0,0,0,0,0,4
ss005,ss,284,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
ss006,ss,789,mk,4468164,5393133,10,1,33,s,i,1,1,0,0,0,0,0,0,0,0,0,0,0
ss006,ss,789,mk,4468164,5393133,13,NA,NA,NA,sb,3,2,0,0,NA,0,0,0,0,0,0,0,4
ss007,ss,790,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
ss008,ss,796,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
ss009,ss,116B,NA,NA,NA,13,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,4
ss010,ss,363B,NA,NA,NA,13,NA,NA,NA,d,1,8,0,0,1,0,0,0,0,0,0,0,0
ss011,ss,fehlt,NA,NA,NA,13,NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,0,0,4
ss012,ss,M1,bgk,4468106,5393543,10,6,19,r,i,1,3,0,0,0,0,0,0,0,0,0,0,9
ss012,ss,M1,bgk,4468106,5393543,13,NA,NA,NA,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
ss013,ss,N5,sfk,NA,NA,13,NA,NA,NA,i,0,0,0,0,1,0,0,0,0,0,0,0,0
kle001,kle,26,dk,4466913,5391000,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
kle001,kle,26,dk,4466913,5391000,11,1,27,s,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
kle002,kle,60,dk,4468060,5391201,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
kle002,kle,60,dk,4468060,5391201,11,2,19,b,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
kle003,kle,580,mk,4466862,5391070,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,2
kle003,kle,580,mk,4466862,5391070,11,1,27,s,sb,1,2,0,0,1,5,M.nattereri,14,0,0,0,0,0
kle008,kle,548,mk,4467866,5391062,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
